"participant","abnormal_rating","normal_rating","structure_rating","selection","judgment","exclude","structure","norm","bjudgment"
1,7,95,0,"abnormal",97,0,"conjunctive","statistical",0.97
2,32,78,0,"abnormal",94,0,"conjunctive","statistical",0.94
3,32,72,0,"abnormal",100,0,"conjunctive","statistical",1
4,18,81,0,"abnormal",82,0,"conjunctive","statistical",0.82
5,25,74,0,"abnormal",89,0,"conjunctive","statistical",0.89
6,33,68,0,"abnormal",100,0,"conjunctive","statistical",1
7,5,80,0,"abnormal",88,0,"conjunctive","statistical",0.88
8,21,81,0,"abnormal",88,0,"conjunctive","statistical",0.88
9,18,78,0,"abnormal",100,0,"conjunctive","statistical",1
10,36,92,19,"abnormal",12,0,"conjunctive","statistical",0.12
11,27,77,0,"abnormal",91,0,"conjunctive","statistical",0.91
12,11,88,0,"abnormal",89,0,"conjunctive","statistical",0.89
13,21,88,9,"abnormal",87,0,"conjunctive","statistical",0.87
14,51,52,0,"normal",0,0,"conjunctive","statistical",0
15,0,67,5,"abnormal",61,0,"conjunctive","statistical",0.61
16,19,86,0,"normal",73,0,"conjunctive","statistical",0.73
17,22,90,0,"abnormal",81,0,"conjunctive","statistical",0.81
18,12,88,0,"abnormal",95,0,"conjunctive","statistical",0.95
19,14,76,0,"abnormal",84,0,"conjunctive","statistical",0.84
20,6,86,0,"abnormal",15,0,"conjunctive","statistical",0.15
21,24,77,0,"abnormal",100,0,"conjunctive","statistical",1
22,0,100,0,"abnormal",100,0,"conjunctive","statistical",1
23,18,84,0,"abnormal",80,0,"conjunctive","statistical",0.8
24,21,74,0,"abnormal",100,0,"conjunctive","statistical",1
25,13,84,7,"abnormal",100,0,"conjunctive","statistical",1
26,0,100,0,"abnormal",100,0,"conjunctive","statistical",1
27,20,80,3,"abnormal",81,0,"conjunctive","statistical",0.81
28,17,76,0,"abnormal",69,0,"conjunctive","statistical",0.69
29,22,100,0,"abnormal",72,0,"conjunctive","statistical",0.72
30,20,76,0,"abnormal",100,0,"conjunctive","statistical",1
31,35,73,99,"normal",18,0,"disjunctive","statistical",0.18
32,18,59,100,"normal",19,0,"disjunctive","statistical",0.19
33,5,92,100,"normal",89,0,"disjunctive","statistical",0.89
34,19,80,100,"normal",39,0,"disjunctive","statistical",0.39
35,22,77,100,"normal",16,0,"disjunctive","statistical",0.16
36,16,82,100,"normal",17,0,"disjunctive","statistical",0.17
37,34,35,65,"abnormal",100,0,"disjunctive","statistical",1
38,49,62,58,"normal",64,0,"disjunctive","statistical",0.64
39,0,85,100,"normal",100,0,"disjunctive","statistical",1
40,24,82,100,"normal",23,0,"disjunctive","statistical",0.23
41,77,90,88,"normal",84,0,"disjunctive","statistical",0.84
42,46,77,84,"abnormal",0,0,"disjunctive","statistical",0
43,23,83,100,"abnormal",64,0,"disjunctive","statistical",0.64
44,18,73,100,"abnormal",55,0,"disjunctive","statistical",0.55
45,25,69,100,"abnormal",88,0,"disjunctive","statistical",0.88
46,0,100,100,"abnormal",100,0,"disjunctive","statistical",1
47,11,34,100,"abnormal",91,0,"disjunctive","statistical",0.91
48,13,68,100,"normal",79,0,"disjunctive","statistical",0.79
49,2,82,100,"normal",0,0,"disjunctive","statistical",0
50,12,93,100,"normal",20,0,"disjunctive","statistical",0.2
51,15,18,67,"normal",16,0,"disjunctive","statistical",0.16
52,26,35,78,"normal",75,0,"disjunctive","statistical",0.75
53,7,8,87,"abnormal",9,0,"disjunctive","statistical",0.09
54,14,90,99,"normal",0,0,"disjunctive","statistical",0
55,29,76,100,"normal",19,0,"disjunctive","statistical",0.19
56,72,84,77,"normal",73,0,"disjunctive","statistical",0.73
57,38,94,68,"normal",17,0,"disjunctive","statistical",0.17
58,23,76,100,"normal",16,0,"disjunctive","statistical",0.16
59,26,76,100,"normal",50,0,"disjunctive","statistical",0.5
60,24,35,83,"normal",23,0,"disjunctive","statistical",0.23
61,23,39,76,"normal",62,0,"disjunctive","statistical",0.62
62,1,100,100,"normal",0,0,"disjunctive","statistical",0
63,43,100,79,"abnormal",85,0,"disjunctive","statistical",0.85
64,14,30,81,"normal",0,0,"disjunctive","statistical",0
65,0,50,100,"normal",0,0,"disjunctive","statistical",0
66,1,97,100,"abnormal",9,0,"disjunctive","statistical",0.09
67,27,48,77,"normal",14,0,"disjunctive","statistical",0.14
68,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
69,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
70,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
71,0,100,0,"normal",100,0,"conjunctive","prescriptive",1
72,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
73,0,100,0,"abnormal",0,0,"conjunctive","prescriptive",0
74,0,100,6,"abnormal",80,0,"conjunctive","prescriptive",0.8
75,0,100,0,"abnormal",78,0,"conjunctive","prescriptive",0.78
76,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
77,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
78,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
79,3,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
80,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
81,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
82,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
83,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
84,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
85,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
86,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
87,2,100,0,"normal",0,0,"conjunctive","prescriptive",0
88,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
89,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
90,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
91,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
92,0,100,0,"normal",0,0,"conjunctive","prescriptive",0
93,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
94,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
95,6,92,8,"abnormal",100,0,"conjunctive","prescriptive",1
96,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
97,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
98,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
99,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
100,0,100,0,"abnormal",71,0,"conjunctive","prescriptive",0.71
101,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
102,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
103,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
104,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
105,0,100,0,"normal",0,0,"conjunctive","prescriptive",0
106,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
107,5,93,13,"normal",74,0,"conjunctive","prescriptive",0.74
108,5,98,1,"abnormal",78,0,"conjunctive","prescriptive",0.78
109,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
110,0,100,0,"abnormal",50,0,"conjunctive","prescriptive",0.5
111,0,100,0,"normal",80,0,"conjunctive","prescriptive",0.8
112,0,100,0,"abnormal",100,0,"conjunctive","prescriptive",1
113,0,100,2,"abnormal",89,0,"conjunctive","prescriptive",0.89
114,0,100,100,"normal",0,0,"disjunctive","prescriptive",0
115,0,100,100,"normal",50,0,"disjunctive","prescriptive",0.5
116,0,100,100,"abnormal",31,0,"disjunctive","prescriptive",0.31
117,0,100,100,"abnormal",6,0,"disjunctive","prescriptive",0.06
118,5,100,100,"normal",0,0,"disjunctive","prescriptive",0
119,14,100,100,"normal",8,0,"disjunctive","prescriptive",0.08
120,0,100,100,"normal",41,0,"disjunctive","prescriptive",0.41
121,0,100,100,"normal",24,0,"disjunctive","prescriptive",0.24
122,0,100,100,"normal",100,0,"disjunctive","prescriptive",1
123,0,100,100,"abnormal",76,0,"disjunctive","prescriptive",0.76
124,0,100,100,"normal",49,0,"disjunctive","prescriptive",0.49
125,0,100,100,"normal",0,0,"disjunctive","prescriptive",0
126,0,100,100,"abnormal",100,0,"disjunctive","prescriptive",1
127,0,100,100,"normal",0,0,"disjunctive","prescriptive",0
128,0,100,100,"abnormal",100,0,"disjunctive","prescriptive",1
129,0,100,100,"normal",0,0,"disjunctive","prescriptive",0
130,0,100,100,"normal",15,0,"disjunctive","prescriptive",0.15
131,0,100,100,"abnormal",72,0,"disjunctive","prescriptive",0.72
132,27,32,65,"abnormal",38,0,"disjunctive","prescriptive",0.38
133,0,100,80,"abnormal",89,0,"disjunctive","prescriptive",0.89
134,32,48,53,"abnormal",68,0,"disjunctive","prescriptive",0.68
135,0,100,100,"abnormal",0,0,"disjunctive","prescriptive",0
136,0,100,100,"normal",46,0,"disjunctive","prescriptive",0.46
137,0,100,100,"normal",0,0,"disjunctive","prescriptive",0
138,0,100,100,"normal",16,0,"disjunctive","prescriptive",0.16
139,0,100,100,"normal",26,0,"disjunctive","prescriptive",0.26
140,78,88,76,"abnormal",71,0,"disjunctive","prescriptive",0.71
141,0,100,100,"normal",64,0,"disjunctive","prescriptive",0.64
142,0,98,100,"normal",44,0,"disjunctive","prescriptive",0.44
143,11,94,93,"normal",3,0,"disjunctive","prescriptive",0.03
144,0,100,100,"normal",0,0,"disjunctive","prescriptive",0
145,0,100,100,"normal",86,0,"disjunctive","prescriptive",0.86
146,0,100,100,"normal",0,0,"disjunctive","prescriptive",0
147,72,87,79,"abnormal",79,0,"disjunctive","prescriptive",0.79
148,0,100,100,"normal",37,0,"disjunctive","prescriptive",0.37
149,0,100,100,"normal",50,0,"disjunctive","prescriptive",0.5
150,0,100,100,"normal",77,0,"disjunctive","prescriptive",0.77
151,1,100,100,"abnormal",100,0,"disjunctive","prescriptive",1
152,15,85,83,"normal",4,0,"disjunctive","prescriptive",0.04
153,0,100,100,"abnormal",50,0,"disjunctive","prescriptive",0.5
154,0,100,100,"abnormal",77,0,"disjunctive","prescriptive",0.77
